date,day,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines
2022-12-23,303,283,267,3005,5986,1984,414,1698,16,212,178,4622,653,
2022-12-24,304,283,267,3006,5994,1988,418,1706,16,212,178,4627,653,
2022-12-25,305,283,267,3011,6010,1991,418,1706,16,212,178,4635,653,
2022-12-26,306,283,267,3016,6017,1996,418,1707,16,212,178,4647,653,
2022-12-27,307,283,267,3016,6024,1998,418,1707,16,212,179,4652,653,
2022-12-28,308,283,267,3017,6037,1999,418,1707,16,212,179,4660,653,
2022-12-29,309,283,268,3018,6047,2004,423,1717,16,212,179,4675,653,
2022-12-30,310,283,268,3026,6059,2010,423,1740,16,212,180,4683,711,
2022-12-31,311,283,269,3029,6075,2016,423,1746,16,213,180,4707,711,
2023-01-01,312,283,269,3031,6084,2021,423,1792,16,213,181,4720,723,
2023-01-02,313,283,269,3031,6093,2027,423,1836,16,213,181,4725,723,
2023-01-03,314,283,270,3036,6100,2033,424,1839,16,214,181,4735,723,
2023-01-04,315,283,270,3038,6106,2039,424,1842,16,215,181,4745,723,
2023-01-05,316,284,271,3041,6108,2051,426,1844,16,215,182,4759,723,
2023-01-06,317,285,272,3064,6124,2059,431,1844,16,215,182,4797,723,
2023-01-07,318,285,272,3066,6125,2062,431,1844,16,217,182,4798,723,
2023-01-08,319,285,272,3069,6130,2065,431,1849,16,217,183,4801,723,
2023-01-09,320,285,275,3080,6147,2069,434,1856,16,217,183,4809,723,
2023-01-10,321,285,275,3084,6154,2073,434,1860,17,217,183,4817,723,
2023-01-11,322,285,275,3094,6159,2078,437,1862,17,217,184,4826,723,
2023-01-12,323,285,276,3094,6159,2082,437,1865,17,218,184,4826,723,
2023-01-13,324,286,276,3098,6167,2086,437,1865,17,218,184,4833,723,
2023-01-14,325,286,276,3104,6173,2090,437,1867,17,219,186,4846,723,
2023-01-15,326,286,276,3106,6183,2094,437,1872,17,219,187,4846,749,
2023-01-16,327,286,276,3118,6204,2099,438,1872,17,220,190,4870,749,
2023-01-17,328,286,276,3121,6215,2104,441,1872,17,220,190,4877,749,
2023-01-18,329,287,276,3130,6215,2108,442,1876,17,220,190,4889,749,
2023-01-19,330,287,277,3136,6235,2122,442,1882,17,220,190,4896,749,
2023-01-20,331,287,277,3139,6241,2129,442,1886,17,220,190,4903,749,
2023-01-21,332,287,277,3140,6256,2135,443,1891,17,220,193,4918,749,
2023-01-22,333,287,277,3145,6268,2144,445,1892,17,220,193,4932,749,
2023-01-23,334,287,277,3150,6276,2146,447,1894,18,220,193,4936,749,
2023-01-24,335,289,281,3152,6284,2148,448,1897,18,220,194,4944,749,
2023-01-25,336,290,281,3161,6307,2154,450,1902,18,220,194,4967,749,
2023-01-26,337,292,282,3175,6334,2169,452,1908,18,220,195,4986,749,
2023-01-27,338,292,283,3182,6340,2180,452,1941,18,221,199,5001,796,
2023-01-28,339,293,284,3189,6344,2188,453,1947,18,221,199,5027,796,
2023-01-29,340,293,284,3197,6366,2195,453,1947,18,221,199,5037,796,
2023-01-30,341,293,284,3201,6369,2196,453,1947,18,221,199,5041,796,
2023-01-31,342,293,284,3201,6378,2197,454,1951,18,221,200,5048,796,
2023-02-01,343,293,284,3209,6382,2207,458,1951,18,221,200,5061,796,
2023-02-02,344,293,284,3211,6382,2212,458,1951,18,222,200,5064,796,
2023-02-03,345,294,284,3215,6388,2215,460,1952,18,222,202,5068,796,
2023-02-04,346,294,284,3218,6394,2220,460,1956,18,225,203,5081,796,
2023-02-05,347,294,284,3220,6405,2226,460,1958,18,227,203,5091,796,
2023-02-06,348,294,284,3231,6415,2231,461,1958,18,227,203,5104,796,
2023-02-07,349,294,284,3245,6443,2232,461,1958,18,227,208,5107,796,
2023-02-08,350,295,285,3253,6458,2236,461,1961,18,228,211,5112,796,
2023-02-09,351,295,285,3255,6468,2244,463,1967,18,232,211,5121,796,
2023-02-10,352,295,286,3258,6471,2251,463,1970,18,233,211,5126,796,
2023-02-11,353,295,286,3267,6474,2270,463,1997,18,234,214,5134,857,
2023-02-12,354,296,286,3280,6488,2287,465,2007,18,234,215,5148,857,
2023-02-13,355,296,286,3283,6492,2290,465,2007,18,234,217,5150,857,
2023-02-14,356,298,286,3286,6500,2299,466,2011,18,234,218,5155,857,
2023-02-15,357,298,286,3290,6507,2303,466,2011,18,236,219,5161,857,
2023-02-16,358,298,287,3296,6517,2306,466,2012,18,239,219,5167,857,
2023-02-17,359,298,287,3298,6520,2322,467,2013,18,241,221,5187,871,
2023-02-18,360,298,287,3303,6533,2326,469,2016,18,243,223,5196,871,
2023-02-19,361,298,287,3310,6545,2327,469,2016,18,243,224,5196,873,
2023-02-20,362,299,287,3316,6553,2334,471,2018,18,243,225,5209,873,
2023-02-21,363,299,287,3326,6562,2338,471,2023,18,243,226,5210,873,
2023-02-22,364,299,287,3334,6569,2345,471,2026,18,243,226,5212,873,
2023-02-23,365,299,287,3350,6593,2352,471,2029,18,244,228,5215,873,
2023-02-24,366,299,287,3363,6600,2363,474,2033,18,247,229,5224,873,
2023-02-25,367,299,288,3375,6609,2373,475,2035,18,247,230,5235,873,
2023-02-26,368,299,288,3381,6615,2380,475,2037,18,247,230,5242,873,
2023-02-27,369,300,288,3385,6621,2380,475,2048,18,247,230,5248,873,
2023-02-28,370,300,288,3388,6630,2383,478,2051,18,247,230,5252,873,
2023-03-01,371,300,288,3395,6638,2393,479,2055,18,247,230,5257,873,
2023-03-02,372,300,288,3397,6658,2398,480,2058,18,247,230,5264,873,
2023-03-03,373,301,289,3405,6673,2402,484,2061,18,247,230,5281,873,
2023-03-04,374,302,289,3409,6683,2414,487,2066,18,247,230,5289,873,
2023-03-05,375,302,289,3414,6692,2426,488,2071,18,248,232,5299,873,
2023-03-06,376,302,289,3423,6703,2433,488,2086,18,250,234,5307,873,
2023-03-07,377,303,289,3432,6714,2456,488,2095,18,253,236,5323,873,
2023-03-08,378,303,289,3436,6723,2463,488,2098,18,253,236,5330,873,
2023-03-09,379,303,289,3441,6736,2465,488,2098,18,254,237,5331,873,
2023-03-10,380,304,289,3448,6742,2475,491,2107,18,256,240,5337,907,
2023-03-11,381,304,289,3458,6762,2483,493,2108,18,257,242,5344,907,
2023-03-12,382,304,289,3466,6769,2487,493,2108,18,259,242,5348,907,
2023-03-13,383,304,289,3474,6774,2503,493,2109,18,259,251,5354,907,
2023-03-14,384,304,289,3484,6789,2519,495,2120,18,260,256,5367,907,
2023-03-15,385,304,289,3492,6799,2528,502,2132,18,262,257,5377,907,
2023-03-16,386,305,289,3504,6810,2539,503,2145,18,265,257,5394,907,
2023-03-17,387,305,290,3506,6823,2552,504,2145,18,265,258,5401,907,
2023-03-18,388,305,290,3511,6830,2560,506,2159,18,265,259,5404,907,
2023-03-19,389,305,290,3532,6853,2568,507,2159,18,268,262,5408,907,
2023-03-20,390,305,290,3537,6869,2577,507,2160,18,270,265,5416,907,
2023-03-21,391,305,290,3552,6879,2586,507,2167,18,270,266,5428,907,
2023-03-22,392,305,290,3557,6887,2589,509,2183,18,272,270,5434,909,
2023-03-23,393,305,290,3570,6898,2608,511,2203,18,273,273,5452,909,
2023-03-24,394,305,290,3574,6921,2616,511,2208,18,276,277,5464,911,
2023-03-25,395,305,291,3580,6932,2623,520,2214,18,276,279,5483,911,
2023-03-26,396,305,291,3595,6947,2631,522,2216,18,277,282,5486,911,
2023-03-27,397,305,291,3595,6953,2638,523,2216,18,277,285,5493,911,
2023-03-28,398,305,291,3602,6966,2653,525,2235,18,277,287,5502,911,
2023-03-29,399,306,291,3609,6966,2659,526,2239,18,277,288,5507,911,
2023-03-30,400,306,291,3610,6974,2671,526,2239,18,278,291,5518,911,
2023-03-31,401,306,291,3615,6977,2675,526,2248,18,278,294,5521,911,
2023-04-01,402,306,291,3616,6981,2683,527,2248,18,279,296,5528,911,
2023-04-02,403,306,291,3618,6986,2687,527,2249,18,279,296,5537,911,
2023-04-03,404,306,291,3619,6993,2694,527,2262,18,280,298,5553,911,
2023-04-04,405,306,291,3627,6999,2697,528,2277,18,280,298,5562,911,
2023-04-05,406,306,291,3629,7005,2707,532,2283,18,280,299,5573,911,
2023-04-06,407,306,292,3631,7013,2714,532,2287,18,281,302,5574,911,
2023-04-07,408,306,292,3633,7016,2722,533,2291,18,281,304,5587,911,
2023-04-08,409,307,292,3636,7020,2727,533,2298,18,282,304,5599,911,
2023-04-09,410,307,292,3636,7024,2740,533,2312,18,282,309,5602,911,
2023-04-10,411,307,292,3637,7028,2750,534,2323,18,282,311,5607,911,
2023-04-11,412,307,293,3644,7038,2765,535,2332,18,282,316,5620,911,
2023-04-12,413,307,293,3646,7043,2770,535,2334,18,282,319,5630,911,
2023-04-13,414,307,293,3646,7053,2777,535,2339,18,283,320,5637,911,
2023-04-14,415,307,293,3650,7069,2784,535,2339,18,283,321,5640,911,
2023-04-15,416,307,293,3653,7073,2785,535,2339,18,283,324,5646,911,
2023-04-16,417,308,293,3657,7083,2795,538,2339,18,284,326,5658,911,
2023-04-17,418,308,293,3660,7087,2804,538,2347,18,285,328,5672,911,
2023-04-18,419,308,293,3661,7098,2810,538,2353,18,285,330,5676,911,
2023-04-19,420,308,293,3665,7110,2819,538,2376,18,285,330,5692,911,
2023-04-20,421,308,293,3667,7120,2825,539,2386,18,285,332,5707,911,
2023-04-21,422,308,293,3668,7126,2827,539,2394,18,285,334,5713,911,
2023-04-22,423,308,293,3672,7130,2832,539,2398,18,289,337,5718,911,
2023-04-23,424,308,294,3675,7131,2837,539,2402,18,289,339,5730,911,
2023-04-24,425,308,294,3683,7139,2849,539,2413,18,289,339,5753,911,
2023-04-25,426,308,294,3688,7151,2863,539,2437,18,291,345,5784,911,
2023-04-26,427,308,294,3692,7162,2877,539,2440,18,292,352,5792,911,
2023-04-27,428,308,294,3694,7178,2887,542,2461,18,293,352,5805,911,
2023-04-28,429,308,294,3694,7181,2905,543,2467,18,294,353,5819,911,
2023-04-29,430,308,294,3697,7184,2908,543,2471,18,294,355,5836,932,
2023-04-30,431,308,294,3699,7189,2914,544,2475,18,295,357,5842,932,
2023-05-01,432,308,294,3700,7192,2921,544,2476,18,295,359,5845,932,
2023-05-02,433,308,294,3701,7193,2930,544,2477,18,298,360,5851,947,
2023-05-03,434,308,294,3702,7199,2946,544,2505,18,300,363,5865,947,
2023-05-04,435,308,294,3707,7216,2962,547,2523,18,304,370,5886,947,
2023-05-05,436,308,294,3710,7224,2978,550,2540,18,304,373,5916,947,
2023-05-06,437,308,294,3717,7238,2992,552,2554,18,306,375,5936,947,
2023-05-07,438,308,294,3723,7248,3010,554,2572,18,306,380,5952,947,
2023-05-08,439,308,294,3730,7253,3018,554,2614,18,306,384,5958,947,
2023-05-09,440,308,294,3734,7257,3031,554,2618,18,307,388,5969,955,
2023-05-10,441,308,294,3736,7275,3039,555,2624,18,308,389,5974,970,
2023-05-11,442,308,294,3740,7287,3053,557,2627,18,310,391,5984,970,
2023-05-12,443,308,294,3745,7295,3068,559,2636,18,312,393,5996,970,
2023-05-13,444,308,294,3751,7307,3095,561,2665,18,314,402,6011,970,
2023-05-14,445,308,294,3756,7325,3116,562,2696,18,314,404,6018,970,
2023-05-15,446,308,294,3759,7336,3137,562,2720,18,316,407,6034,973,
2023-05-16,447,308,294,3762,7348,3150,562,2732,18,316,410,6048,973,
2023-05-17,448,308,294,3771,7365,3166,562,2748,18,318,417,6067,982,
2023-05-18,449,308,294,3773,7373,3198,563,2759,18,318,418,6073,990,
2023-05-19,450,308,294,3777,7377,3210,564,2769,18,319,419,6083,1011,
2023-05-20,451,308,294,3781,7382,3229,564,2801,18,325,423,6103,1011,
2023-05-21,452,308,294,3783,7398,3258,564,2822,18,327,425,6115,1011,
2023-05-22,453,309,294,3785,7407,3278,565,2830,18,327,427,6129,1011,
2023-05-23,454,309,295,3789,7419,3318,565,2864,18,327,433,6139,1015,
2023-05-24,455,309,296,3792,7424,3339,570,2871,18,327,440,6146,1015,
2023-05-25,456,309,296,3795,7432,3359,570,2907,18,327,444,6148,1015,
2023-05-26,457,310,296,3796,7435,3384,570,2910,18,328,446,6161,1015,
2023-05-27,458,310,296,3799,7442,3406,572,2941,18,329,449,6172,1025,
2023-05-28,459,313,298,3797,7456,3425,574,2993,18,329,451,6192,1056,
2023-05-29,460,313,298,3801,7467,3435,575,3054,18,331,453,6207,1056,
